,term,N,N_ordered,N_not_ordered,N_made,N_not_made,N_assayed,N_not_assayed,N_crystallised,N_not_crystallised,freq_ordered (of total),freq_made (of total),freq_assayed (of total),freq_crystallised (of total),freq_made (of ordered),freq_assayed (of made),freq_crystallised (of made),fisher_p_ordered,χ2_p_ordered,fisher_p_made,χ2_p_made,fisher_p_assayed,χ2_p_assayed,fisher_p_crystallised,χ2_p_crystallised,log2_freq_ordered (of total),log2_freq_made (of total),log2_freq_assayed (of total),log2_freq_crystallised (of total),log2_freq_made (of ordered),log2_freq_assayed (of made),log2_freq_crystallised (of made)
57,crystal,4100,159.0,3941.0,112.0,3988.0,112.0,3988.0,19.0,4081.0,0.0388,0.0273,0.0273,0.0046,0.7044,1.0,0.1696,3.7155914650648484e-54,0.0,2.2452375015319924e-43,0.0,1.043026919221381e-41,0.0,1.2578784089811448e-10,0.0,-1.6492006105266006,-1.7194201645945946,-1.691877704637668,-1.8773174802251715,-0.06800764381456573,0.027674958442848226,-0.15319350611189728
662,cryst,4116,159.0,3957.0,112.0,4004.0,112.0,4004.0,19.0,4097.0,0.0386,0.0272,0.0272,0.0046,0.7044,1.0,0.1696,1.736247641785062e-54,0.0,1.0517498128387324e-43,0.0,4.9152650155882136e-42,0.0,1.2421046577962438e-10,0.0,-1.6566564154456478,-1.724714464264108,-1.6971720043071812,-1.8773174802251715,-0.06800764381456573,0.027674958442848226,-0.15319350611189728
3611,hetero,851,32.0,819.0,29.0,822.0,29.0,822.0,0.0,851.0,0.0376,0.0341,0.0341,0.0,0.9062,1.0,0.0,1.8172452898616202e-14,0.0,6.373556785134458e-09,0.0,1.5213381722093454e-08,0.0,1.4285027645378892e-06,0.0,-1.694524601036091,-1.398549376490275,-1.3710069165333483,-inf,0.29542693786761515,0.027674958442848226,-inf
3980,lle,2510,88.0,2422.0,58.0,2452.0,57.0,2453.0,10.0,2500.0,0.0351,0.0231,0.0227,0.004,0.6591,0.9828,0.1724,5.563130652792081e-40,0.0,5.9197828940556305e-34,0.0,2.2698933755180266e-33,0.0,4.392329583715497e-08,0.0,-1.7937862324091678,-1.9604282640983899,-1.9580863582666057,-2.0789513413948217,-0.16390518250134142,0.002644721255563663,-0.12956990158599843
104,core,4033,132.0,3901.0,107.0,3926.0,107.0,3926.0,8.0,4025.0,0.0327,0.0265,0.0265,0.002,0.8106,1.0,0.0748,5.7993838213337534e-64,0.0,3.448412077388931e-44,0.0,1.6707498674470576e-42,0.0,4.210426368872547e-17,0.0,-1.895966627215646,-1.7623287560638858,-1.7347862961069593,-3.0789513413948217,0.1345876224010667,0.027674958442848226,-1.3342195007874598
3901,ome,5273,160.0,5113.0,138.0,5135.0,138.0,5135.0,15.0,5258.0,0.0303,0.0262,0.0262,0.0028,0.8625,1.0,0.1087,4.5136400955809906e-85,0.0,2.4809144372374742e-55,0.0,2.863790600026113e-53,0.0,8.297675666053893e-18,0.0,-2.0059394692407775,-1.778754303976997,-1.7512118440200701,-2.59352451422458,0.224121903794482,0.027674958442848226,-0.7949777356477874
3342,batch,1027,31.0,996.0,14.0,1013.0,14.0,1013.0,91.0,936.0,0.0302,0.0136,0.0136,0.0886,0.4516,1.0,6.5,6.892334076762554e-21,0.0,8.841895864472664e-22,0.0,4.282830827120841e-21,0.0,4.283002475284985e-30,0.0,-2.010708713388649,-2.724714464264108,-2.6971720043071814,2.390283452272834,-0.7093570668727732,0.027674958442848226,5.107038137015445
305,into,4190,123.0,4067.0,88.0,4102.0,88.0,4102.0,8.0,4182.0,0.0294,0.021,0.021,0.0019,0.7154,1.0,0.0909,9.887940284027608e-73,0.0,1.3944644942828987e-56,0.0,9.514859571865082e-55,0.0,5.817749410007293e-18,0.0,-2.049441107877364,-2.0979317878483243,-2.070389327891398,-3.1529519228385987,-0.04565243465054863,0.027674958442848226,-1.0529774764809894
796,predict,2073,60.0,2013.0,54.0,2019.0,54.0,2019.0,8.0,2065.0,0.0289,0.026,0.026,0.0039,0.9,1.0,0.1481,2.4099707830583364e-40,0.0,1.0017671400904318e-25,0.0,7.439500438420222e-25,0.0,3.4787860396451846e-07,0.0,-2.0741877702130496,-1.7898094924859926,-1.7622670325290661,-2.115477217419936,0.2855224484586253,0.027674958442848226,-0.3487580353862487
3210,pred,2076,60.0,2016.0,54.0,2022.0,54.0,2022.0,8.0,2068.0,0.0289,0.026,0.026,0.0039,0.9,1.0,0.1481,1.651731455182863e-40,0.0,7.016623263306646e-26,0.0,7.600853025107368e-25,0.0,3.483154413116152e-07,0.0,-2.0741877702130496,-1.7898094924859926,-1.7622670325290661,-2.115477217419936,0.2855224484586253,0.027674958442848226,-0.3487580353862487
